0,1,2,3,4,5,6,7,8,10,12,15,16,17,18,19,20,21,22,24,25,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,55,59,60,65,66,69,70,72,74,79,80,82,83,84,85,86,87,88,90,91,92,93,96,97,98,99,100,110,111,130,150,205,210,215,222,229,240,242,243,245,246,247,249,250,255,256,257,260,263,264,265,270,297,299,300,306,310,321,330,336,337,339,340,341,344,345,346,347,362,365,366,369,370,380,381,382,383,384,385,386,388,418,440,449,450,490,499,500,501,502,503,504,505,506,507,508,509,510,511,513,515,516,518,519,520,521,522,525,526,530,532,533,534,535,536,538,540,541,542,544,545,546,547,548,550,552,555,556,561,562,580,581,583,585,586,588,590,591,592,593,594,595,596,598,599,600,605,610,611,630,640,648,650,651,653,655,656,657,658,666,690,699,700,701,710,711,712,720,730,733,740,751,752,753,760,765,767,770,772,773,775,776,777,780,785,787,799,800,810,811,830,846,850,852,853,856,859,860,863,866,880,886,887,889,890,891,899,900,901,902,904,906,907,908,909,910,914,915,920,922,923,925,926,929,930,932,935,936,938,939,943,945,946,947,948,950,952,953,955,959,963,975,978,980,983,984,987,988,991,992,994,995,996,997,998,338
00971cam a2200385   4500,1,,,,2.01609E+13,,,770726s1977\\\\enkc\\\\\bd\\\\\1\0ceng\c,,,,,,,,\\$a0850450926,,,,,,,,,,,,\\$a7500060;\\$a44,,,,\9$y200404070852$zVLOAD,\\$dUtOrBLW,,,\\$ae-uk-en,,\\$as8u0,,,,\\$aoh$beng,04$aDA317$b.H64,,,,,,,,,,,,,,0\$a942.05,,,,,,,00$a942.05 /L758$bRE,,,,,,,,"1\$aHoffmann, Ann.",,,,,,,,,,,,,"10$aLives of the Tudor age, 1485-1603 /$cby Ann Hoffmann.",,,,,,,,,,"\1$aLondon :$bOsprey Pub.,$c1977.",,,,,"\\$axi, 500 pages :$billustrations, portraits.",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,1\$aLives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a24.95,,,,,,,,,"\0$aGreat Britain$xHistory$yTudors, 1485-1603$vBiography.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aLives.,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a44,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a44,,,,,,,,\\$avolume$bnc$2rdacarrier
01027cam a2200361   4500,2,,,,2.01806E+13,,,770504s1974\\\\onc\\\\e\\\\\\\\\\0\eng\c,,,,,,,,,,,,,,,,,,,,\\$a7500314;\\$a246,,,,\9$y200404071251$zVLOAD,\\$dUtOrBLW,,,\\$an-cn-on,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,0\$a027.471352,,,,,,,0\$a027.4723521 HAM,,,,,,,,"1\$aWeber, Jan.",,,,,,,,,,,,,14$aThe Hamilton Public Library :$baudio visual presentation /$cby Jan Weber.,,,,,,,,,,"\1$a[Hamilton, Ont.] :$b[Hamilton Public Library],$c[1974]. --",,,,,\\$a5 leaves.,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20$aHamilton Public Library (Ont.),,,,,\0$aPublic libraries$zOntario$zHamilton.,"\0$aHamilton (Ont.)$xAuthors$xWeber, Jan.;\0$aHamilton (Ont.)$xImprints, 1974.",,,,,,,,,,,2\$aHamilton Public Library (Ont.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a246,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a246,,,,,,,,\\$avolume$bnc$2rdacarrier
01087cam a2200409   4500,3,,,,2.01609E+13,,,010102t19761976iluac\\e\\\\\\\\1\0\eng\d,\\$a   75033742,,,,,,,\\$a0809307472,,,,,,,,,,,,\\$a7500356;\\$a282,,,,\9$y200404071255$zVLOAD,\\$aLC$dUtOrBLW,,,\\$an-cn---$ae-ie---,,\\$aw3x6,,,,\\$aOTU$beng,\0$aCS90$b.G66 1976,,,04$aCS90$bG63 1976,,,,,,,,,,,0\$a929/.2/0971,,,,,,,10$a929.20971 GOOD LAT,,,,,,,,"1\$aLatzer, Beth Good,$d1911-",,,,,,,,,,,,,"10$aMyrtleville :$ba Canadian farm and family, 1837-1967 /$cBeth Good Latzer.",,,,,,,,,,"\1$aCarbondale :$bSouthern Illinois University Press,$c[1976];\4$c©1976",,,,,"\\$axiii, 312 pages :$billustrations, portraits",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aIncludes index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30$aGood family.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a282,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a282,,,,,,,,\\$avolume$bnc$2rdacarrier
01621cam a2200493 a 4500,4,,,,2.01804E+13,,,061108s1965\\\\nyua\\\b\\\\\\|||\1\eng\d,\\$a   65010484,,,,,,,\\$a0394900383(lib.bdg.);\\$a0394800389 (trade);\\$a9780394800387,,,,,,,,,,,,\\$a7500362;\\$a287,,,,\9$y201101031032$zVLOAD,\\$aLC$dUtOrBLW,,,,,,,,,\\$aoh$beng,00$aPZ8.3.G276$bFo,,,,,,,,,,,,,,0\$a[E],,,,,,,\\$aSEU,,,,,,,,"1\$aSeuss,$cDr.",,,,,,,,,,,,,10$aFox in socks /$cby Dr. Seuss.,,,,,,,,,,"\1$aNew York, NY :$bRandom House,$c1965.",,,,,\\$a61 pages :$bcolor illustrations ;$c24 cm.,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,1\$aI can read it all by myself;0\$aBeginner books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\1$aNonsense verses.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aI can read it all by myself.,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a287,,,,\\$aj,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a287,,,,,,,,\\$avolume$bnc$2rdacarrier
01137cam a2200385   4500,5,,,,2.01609E+13,,,770706s1975\\\\njua\\\j\\\\\\\\\\1\eng\d,\\$a   75011565,,,,,,,\\$a0138516006 (lib. bdg. :)$c{dollar}6.95;\\$c19.75,,,,,,,,,,,,\\$a7500450;\\$a355,,,,\9$y200404071302$zVLOAD,\\$aLC$dUtOrBLW,,,,,,,,,\\$aoh$beng,\0$aPZ8.1.D43$bSt,,,,,,,,,,,,,,0\$a398.2/2/0945$aE,,,,,,,\\$aDEP,,,,,,,,"1\$aDePaola, Tomie,$d1934-",,,,,,,,,,,,,10$aStrega Nona :$ban old tale /$cretold and illustrated by Tomie de Paola.,,,,,,,,,,"\1$aEnglewood Cliffs, N.J. :$bPrentice-Hall,$c[1975]. --",,,,,\\$a32 unnumbered pages :$bcolor illustrations ;$c29 cm,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"\\$aWhen Strega Nona leaves him alone with her magic pasta pot, Big Anthony is determined to show the townspeople how it works.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a19.75,,,,,,,,\0$aFolklore$zItaly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a355,,,,\\$aj,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a355,,,,,,,,\\$avolume$bnc$2rdacarrier
01127cam a2200385   4500,6,,,,2.01609E+13,,,770726s1975\\\\onc\\\\\\bc\\\\\\\0\eng\c,,,,,,,,,,,,,,,,,,,,\\$a7500483;\\$a387,,,,\9$y200404071306$zVLOAD,\\$dUtOrBLW,,,\\$an-cn-on,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,0\$a016.0711352,,,,,,,00$a016/.07113521 /G381$bHA,,00$aCAOH$b1,,,,,,"1\$aGilchrist, David.",,,,,,,,,,,,,10$aHamilton newspapers project /$cDavid Gilchrist.,,,,,,,,,,"\1$a[Hamilton, Ont.] :$b[Hamilton Public Library],$c1975.",,,,,\\$a1 volume,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aLoose-leaf for additions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aCanadian newspapers$zOntario$zHamilton$vBibliography$vCatalogs.;\0$aCanadian newspapers$zOntario$zHamilton$xHistory.,"\0$aHamilton (Ont.)$xAuthors$xGilchrist, David.;\0$aHamilton (Ont.)$xImprints, 1975.",,,,,,,,,,,2\$aHamilton Public Library (Ont.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a387,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a387,,,,,,,,\\$avolume$bnc$2rdacarrier
01132cam a2200409 a 4500,7,,,,2.01609E+13,,,981014t19761976onc\\\\e\\\\\\\\\\0beng\c,,,,,,,,\\$a0771026919,,,,,,,,,,,,\\$a7500513;\\$a411,,,,\9$y200807171517$zVLOAD,\\$dUtOrBLW,,,\\$an-cn-qu,,\\$ax5x7,,,,\\$aopal$beng,04$aF1053$b.L66D4,,,,,,,,,,,,,,0\$a971.404092$221,,,,,,,10$a971.404092 LEVES DES,,,,,,,,"1\$aDesbarats, Peter.",,,,,,,,,,,,,10$aRené :$ba Canadian in search of a country.$nPeter Desbarats. -.,,,,,,,,,,"\1$aToronto :$bMcClelland and Stewart,$c[1976];\4$c©1976",,,,,\\$a223 pages ;$c24 cm,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a12.95,"10$aLévesque, René,$d1922-1987.",,20$aParti québécois.,,,,,,\0$aQuébec (Province)$xHistory$xAutonomy and independence movements.;\0$aQuébec (Province)$xPolitics and government.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a411,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a411,,,,,,,,\\$avolume$bnc$2rdacarrier
01013cam a2200325   4500,8,,,,2.01609E+13,,,760218s1974\\\\onc\\\\\\b\\\\\\\\0\eng\c,,,,,,,,,,,,,,,,,,,,\\$a7500523;\\$a416,,,,\9$y200404071308$zVLOAD,\\$dUtOrBLW,,,,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,,,,,,,,00$a016/.9713521 /M227$bHA,,,,,,,,,2\$aMcMaster University.$bLibrary.,,,,,,,,,,,,"10$aHamilton history collection in the Special Collections Library.$pCalendar prepared in Mills Memorial Library, McMaster University.",,,,,,,,,,"\1$aHamilton, Ont. :$bThe Library,$c1974.",,,,,\\$a8 leaves.,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"\0$aHamilton (Ont.)$xBiography$vSources.;\0$aHamilton (Ont.)$xHistory$vSources.;\0$aHamilton (Ont.)$xImprints, 1974.;\0$aHamilton (Ont.)$xAuthors$xMcMaster University. Library.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a416,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a416,,,,,,,,\\$avolume$bnc$2rdacarrier
01028cam a2200361   4500,9,,,,2.01609E+13,,,751128s1928\\\\oncac\\\\\\\\\\\\\0\eng\e,,,,,,,,,,,,,,,,,,,,\\$a7500532;\\$a425,,,,\9$y200404071308$zVLOAD,\\$aNUC$dUtOrBLW,,,,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,,,,,,,,00$a289.9 /M196$bSC,,00$aCAOH$b1,,,,,,"1\$aMacKendrick, W. G.$q(William Gordon),$d1864-1959.",,,,,,,,,,,,,14$aThe destiny of the British Empire and the U. S. A.$pBy the Roadbuilder.,,,,\\$aNinth edition revised.,,,,,,"\1$aToronto :$bCommonwealth Publishers,$c1928.",,,,,"\\$a213 pages :$billustrations, portrait",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aWith an appendix: Who are the Japanese?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00$aBible$xProphecies.,,,\0$aAnglo-Israelism.;\0$aAnglo-Saxon race.,,,,,,,,,,0\$aRoadbuilder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a425,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a425,,,,,,,,\\$avolume$bnc$2rdacarrier
01021cam a2200337   4500,10,,,,2.01609E+13,,,751128s1893\\\\oncac\\\\\\\\\\\\\0deng\e,,,,,,,,,,,,,,,,,,,,\\$a7500596;\\$a466,,,,\9$y200404071311$zVLOAD,\\$aNUC$dUtOrBLW,,,\\$an-cn-on,,\\$aw2w9,,,,\\$aoh$beng,,,,,,,,,,,,,,,0\$a373.713,,,,,,,00$a373.713 /UP5D$bSC,,,,,,,,"1\$aDickson, George,$db. 1846.",,,,,,,,,,,,,"12$aA history of Upper Canada College, 1829-1892 :$bwith contributions by old Upper Canada College boys.$pCompiled and edited by George Dickson and G. Mercer Adam.",,,,,,,,,,"\1$aToronto :$bRowsell & Hutchison,$c1893.",,,,,"\\$a327 pages :$billustrations, portraits",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20$aUpper Canada College$xHistory.,,,,,,,,,,,,,,,"1\$aAdam, G. Mercer$q(Graeme Mercer),$d1830-1912.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a466,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a466,,,,,,,,\\$avolume$bnc$2rdacarrier
